Surname,Name
Gordon,Y.
Pellegrino,C.
Bannister,K.
Howlett,C.
Vu,Hai L.
Lenc,E.
Corsini,E.~M.
Prasad,Krishnamurthy
Kuropatkin,N.
Salmon,Brett
Leontini,Justin S.
Schaller,M.
Donzaud,C.
Taddia,F.
Acharyya,A.
R. Lunnan, 
Sun,T.
Sun,Chenghua
Bourret,S.
Sobreira,F.
Lyne,A.~G.
Serylak,M.
Johnson,A.
Bainbridge,M.~B.
Coles,W.~A.
Basa,S.
Denes,H.
Migliozzi,P.
Dornic,D.
Felis,I.
Kartha,S.
McCarthy,C.
Blagorodnova,N.
Sanders,D.~B.
Sieger,C.
White,Martin
Quimby,R.~M.
Laporte,N.
Trois,A.
McFarland,J.
Eifler,T.~F.
Bosman,S.~E.~I.
Petroff,E.
Gereb,K.
Gadotti,D.~A.
Rui,L.
Kennicutt,Robert C.
Coleiro,A.
Steele,K.
Lyubenova,M.
Merryfield,M.
Joachimi,B.
Churchill,C.~W.
Quinn,L.
Jankowski,F.
Seyedmahmoudian,M.
Sbarski,Igor
Chandra,P.
Goobar,A.
Lucey,J.~R.
Batsakis,S.
Zou,P.
Mead,A.
Tauris,T.~M.
Fremling,C.
Lahmann,R.
Melis,K.
Mutlu-Pakdil,B.
Hinton,S.~R.
Leonora,E.
Cuello,N.
Dobie,D.
Dekel,Avishai
Uddin,S.~A.
Hargis,J.
Lodato,G.
Cuadra,J.
Gregoire,T.
Koda,J.
Carr,J.
Paolillo,M.
Tucker,B.~E.
Tucker,D.~L.
A. De Cia, 
Barway,S.
Totani,T.
Tingay,S.
Zhao,Chuan
Crnojevic,D.
Ferguson,Henry C.
Possenti,A.
Gutierrez,C.
Gutierrez,G.
Fahrion,K.
Domi,A.
Vivolo,D.
Kim,H.-S.
Hartley,W.~G.
You,X.-P.
Campbell-Wilson,D.
Kenney,D.
Venkatraman Krishnan,V.
Klaes,D.
Caramete,L.
Ardid,M.
Peter,A.~H.~G.
Graf,K.
Koekemoer,A.
Forrest,Ben
Nanayakkara,Themiya
Capone,A.
DAndrea,C.~B.
Haehnelt,M.~G.
Abdalla,F.~B.
Diaz,A.~F.
Salda~na,M.
Carollo,D.
Kulkarni,S.~R.
Sanchez,E.
Cooper,A.
Hopkins,A.~M.
Herbonnet,R.
Crain,R.~A.
Busto,J.
Kadler,M.
Costa,T.
Gorbovskoy,E.
Becker,G.~D.
Spekkens,K.
Carlin,J.~L.
Asnavandi,Majid
Schreiber,C.
Marinelli,A.
Tiburzi,C.
Childress,M.
Crawford,S.
Carretero,J.
Elsasser,D.
Perrina,C.
Kilborn,V.~A.
Zhu,X.-J.
Zhu,L.
Zhu,Beien
Nomoto,K.
Miller,R.
Miller,L.
Kasen,D.
Giblin,T.
McCully,C.
Ewen,James P.
Adams,C.
Adams,T.
Nikzad,Mostafa
Drinkwater,M.~J.
Rosenbaum,A.
Khazov,D.
Ridden-Harper,R.
Cohn,Jonathan H.
Hugon,C.
Suzuki,N.
Bland,P.~A.
Turpin,D.
Toniolo,U.
Stark,D.~P.
Shen,K.~J.
Iodice,E.
Klotz,A.
Ackley,K.
Murphy,T.
Murphy,M.~T.
Macaulay,E.
Creusot,A.
Sharp,R.
Bormuth,R.
Heymans,C.
Doel,P.
Adhikari,R.~X.
Taylor,E.~N.
Kessler,R.
Circella,M.
Limatola,L.
Schussler,F.
Yaron,O.
Pannella,M.
Sako,M.
Viola,M.
Hallmann,S.
Allam,S.
Maccarone,T.~J.
Carrasco Kind,M.
Lagattuta,D.~J.
Chen,X.-L.
Takahashi,I.
Robertson,B.
Jiang,J.-a.
Brunner,J.
Burke-Spolaor,S.
Spolaor,M.
Arcavi,I.
OrsquoMeara,J.~M.
Salcido,J.
Sand,D.~J.
Scarpine,V.
Cameron,A.~D.
Christiaens,V.
Brodie,J.~P.
Todd,B. D.
Costantini,H.
Rorai,A.
Jennings,Z.
Orange,N.~B.
Ridolfi,A.
Lin Yan, 
de Gregorio-Monsalvo,I.
Kate H. R. Rubin, 
Pokhrel,Shiva Raj
Codoreanu,A.
de Jong,M.
de Jong,J.
James,C.~W.
James,D.~J.
Wyithe,J.~S.~B.
Wyithe,S.
Dave,Romeel
Rudie,G.~C.
Anton,G.
Bojaddaini,I.~E.
Jeltema,T.
Alabi,A.
Saha,K.
Kouchner,A.
Kartaltepe,Jeyhan S.
M. Panda, 
Meyer,R.~A.
Burgay,M.
Kocevski,Dale D.
Howie,R.~M.
Gal-Yam,A.
Janssens,S.
Cao,Y.
Lee,C.-H.
Lee,Khee-Gan
Elmer,E.
Bertin,V.
Kirby,E.
Whiting,M.
Bianchini,F.
Quadri,R.~F.
Hotan,A.
Gruendl,R.~A.
Versari,F.
Enzenhofer,A.
Taiuti,M.
Romanowsky,A.~J.
Nugent,P.~E.
Tilvi,Vithal
Muxlow,T.
Martini,P.
Vizzocca,A.
Mould,J.~R.
Achitouv,I.
MacFarlane,Douglas R.
Goldstein,D.~A.
Champion,D.~J.
Reichardt,C.~L.
Webb,J.~K.
Webb,N.~A.
Asgari,M.
Foster,C.
Kohlinger,F.
Illuminati,G.
Cucchiara,A.
Flaugher,B.
Willman,B.
Hill,T.
P. J. Brown, 
Fenech Conti,I.
Scott,S.~M.
Eilers,A.-C.
