A. De Cia
Liu, X.-j.
Liu, Xia-Ji
Lo Jacono, David
Lodato, G.
Lopez, E.
Lorente, N.
Lorimer, D.~R.
Loucatos, S.
Louise Olsen-Kettle
Lucas, Ray A.
Lucey, J.~R.
Lunnan, R.
Lupton, R.~H.
Lutz, K.~A.
Luvaul, L.~C.
Lynch, C.
Lyne, A.~G.
Lyubenova, M.
M. Panda
Ma, B.
MacFarlane, Douglas R.
Macaulay, E.
Maccarone, T.~J.
Macpherson, D.
Madau, P.
Maeda, K.
Magoulas, C.
Maia, M.~A.~G.
Maier, Christian
Malan, Katherine M.
Manchester, R.~N.
Mao, J.
Marcelin, M.
Margiotta, A.
Marinelli, A.
Marino, S.
Marsh, T.~R.
Martin D. Griffith
Martin, D.~C.
Martinez-Mora, J.~A.
Martini, P.
Martizzi, Davide
Mas-Ribas, L.
McCarthy, C.
McClelland, D.~E.
McClure-Griffiths, N.~M.
McCully, C.
McDermid, R.~M.
McEwen, J.~D.
McFarland, J.
McLaughlin, M.~A.
Mead, A.
Mele, R.
Melis, K.
Menanteau, F.
Menard, F.
Meng, Jun
Mentiplay, D.
Merryfield, M.
Mesinger, A.
Meyer, R.~A.
Michael, T.
Mickaliger, M.
Migliozzi, P.
Miller, L.
Miller, R.
Miralda-Escude, J.
Moller, A.
Monson, A.~J.
Mooley, K.
Morales, M.~F.
More, A.
Morello, V.
Moriya, T.~J.
Morokuma, T.
Morris, D.
Morrison, C.~B.
Morrison, G.
Moser, I.
Mould, J.
Mould, J.~R.
Moursli, R.~C.~E.
Moussa, A.
Mrkalj, M.
Mulkerin, B.~C.
Mulkerin, Brendan
Muller, Thomas
Murphy, M.~T.
Murphy, T.
Mutch, S.~J.
Mutlu-Pakdil, B.
Muxlow, T.
Muzahid, S.
Mu~noz, R.~R.
Nakar, E.
Nam H. Hoang
Nanayakkara, T.
Nanayakkara, Themiya
Napolitano, N.
Napolitano, N.~R.
Navas, S.
Nealon, R.
Newman, A.~B.
Nezri, E.
Ng, C.
Nichol, R.~C.
Nielsen, N.~M.
Niino, Y.
Nikzad, Mostafa
Nomoto, K.
Noysena, K.
Nugent, P.~E.
Nugent, Peter E.
Nyholm, A.
ONeill, M.
Obreschkow, D.
Oesch, P.
Oesch, Pascal A.
Ofek, E.~O.
Ogando, R.~L.~C.
Onken, C.~A.
Orange, N.~B.
Organokov, M.
OrsquoMeara, J.~M.
Oslowski, S.
Ostler, David
Owers, M.~S.
P. J. Brown
Pallot, D.
Palma, I.~D.
Pan, Richard
Panda, Manoj
Pannella, M.
Paolillo, M.
Papovich, C.
Papovich, Casey
Papovich, Casey J.
Parkinson, D.
Parthasarathy, A.
Pastorello, N.
Paxman, J.
Pellegrino, C.
Penny, S.~J.
Perez-R`afols, I.
Perley, D.~A.
Perrina, C.
Perrodin, D.
Persson, S.~E.
Peter S. Kim
Peter, A.~H.~G.
Petroff, E.
Pettini, M.
Piattelli, P.
Pignata, G.
Pimbblet, K.
Pinte, C.
Pizzella, A.
Plazas, A.~A.
Pointon, S.~K.
Pokhrel, Shiva Raj
Poole, G.~B.
Popa, V.
Possenti, A.
Pota, V.
Potter, S.~B.
Pracy, M.
Pradier, T.
Prajs, S.
Prasad, Krishnamurthy
Pratley, L.
Pretorius, M.~L.
Price, D.~J.
Pritchard, T.
Pritchard, T.~A.
Prochaska, J. Xavier
Pursiainen, M.
Pv avv alac s, G.~E.
